0.00	0.9982
0.10	0.9989
0.20	0.9997
0.30	1.0004
0.40	1.0011
0.50	1.0018
0.60	1.0025
0.70	1.0032
0.80	1.0039
0.90	1.0046
1.00	1.0053
1.10	1.0060
1.20	1.0068
1.30	1.0075
1.40	1.0082
1.50	1.0089
1.60	1.0096
1.70	1.0103
1.80	1.0110
1.90	1.0117
2.00	1.0125
2.10	1.0132
2.20	1.0139
2.30	1.0146
2.40	1.0153
2.50	1.0160
2.60	1.0168
2.70	1.0175
2.80	1.0182
2.90	1.0189
3.00	1.0196
3.10	1.0203
3.20	1.0211
3.30	1.0218
3.40	1.0225
3.50	1.0232
3.60	1.0239
3.70	1.0246
3.80	1.0254
3.90	1.0261
4.00	1.0268
4.10	1.0275
4.20	1.0282
4.30	1.0290
4.40	1.0297
4.50	1.0304
4.60	1.0311
4.70	1.0318
4.80	1.0326
4.90	1.0333
5.00	1.0340
5.20	1.0355
5.40	1.0369
5.60	1.0384
5.80	1.0398
6.00	1.0413
6.20	1.0427
6.40	1.0442
6.60	1.0456
6.80	1.0471
7.00	1.0486
7.20	1.0500
7.40	1.0515
7.60	1.0530
7.80	1.0544
8.00	1.0559
8.20	1.0574
8.40	1.0588
8.60	1.0603
8.80	1.0618
9.00	1.0633
9.20	1.0647
9.40	1.0662
9.60	1.0677
9.80	1.0692
10.00	1.0707
10.50	1.0744
11.00	1.0781
11.50	1.0819
12.00	1.0857
12.50	1.0894
13.00	1.0932
13.50	1.0970
14.00	1.1008
14.50	1.1047
15.00	1.1085
16.00	1.1162
17.00	1.1240
18.00	1.1319
19.00	1.1398
20.00	1.1478
21.00	1.1558
22.00	1.1640
23.00	1.1721
24.00	1.1804
25.00	1.1887
26.00	1.1972
